"scripts","detailing","lagged_scripts","mean_samples","doctorType"
3,1,4,0.721739130434783,"General Physician"
12,1,3,0.721739130434783,"General Physician"
3,1,12,0.721739130434783,"General Physician"
6,2,3,0.721739130434783,"General Physician"
5,1,6,0.721739130434783,"General Physician"
2,0,5,0.721739130434783,"General Physician"
5,2,2,0.721739130434783,"General Physician"
1,2,5,0.721739130434783,"General Physician"
5,1,1,0.721739130434783,"General Physician"
3,1,5,0.721739130434783,"General Physician"
1,2,3,0.721739130434783,"General Physician"
3,2,1,0.721739130434783,"General Physician"
1,2,3,0.721739130434783,"General Physician"
2,2,1,0.721739130434783,"General Physician"
0,1,2,0.721739130434783,"General Physician"
4,4,0,0.721739130434783,"General Physician"
6,2,4,0.721739130434783,"General Physician"
1,0,6,0.721739130434783,"General Physician"
2,2,1,0.721739130434783,"General Physician"
2,1,2,0.721739130434783,"General Physician"
2,2,2,0.721739130434783,"General Physician"
6,3,2,0.721739130434783,"General Physician"
3,2,6,0.721739130434783,"General Physician"
1,2,5,0.491304347826087,"Area Specialist"
8,3,1,0.491304347826087,"Area Specialist"
7,1,8,0.491304347826087,"Area Specialist"
5,1,7,0.491304347826087,"Area Specialist"
3,2,5,0.491304347826087,"Area Specialist"
9,3,3,0.491304347826087,"Area Specialist"
2,3,9,0.491304347826087,"Area Specialist"
10,6,2,0.491304347826087,"Area Specialist"
6,2,10,0.491304347826087,"Area Specialist"
4,6,6,0.491304347826087,"Area Specialist"
4,4,4,0.491304347826087,"Area Specialist"
5,1,4,0.491304347826087,"Area Specialist"
11,5,5,0.491304347826087,"Area Specialist"
1,5,11,0.491304347826087,"Area Specialist"
1,3,1,0.491304347826087,"Area Specialist"
2,5,1,0.491304347826087,"Area Specialist"
0,4,2,0.491304347826087,"Area Specialist"
4,5,0,0.491304347826087,"Area Specialist"
2,3,4,0.491304347826087,"Area Specialist"
2,5,2,0.491304347826087,"Area Specialist"
4,5,2,0.491304347826087,"Area Specialist"
5,5,4,0.491304347826087,"Area Specialist"
3,5,5,0.491304347826087,"Area Specialist"
10,1,5,0.339130434782609,"General Physician"
9,2,10,0.339130434782609,"General Physician"
6,0,9,0.339130434782609,"General Physician"
6,3,6,0.339130434782609,"General Physician"
5,2,6,0.339130434782609,"General Physician"
9,0,5,0.339130434782609,"General Physician"
5,1,9,0.339130434782609,"General Physician"
11,2,5,0.339130434782609,"General Physician"
6,1,11,0.339130434782609,"General Physician"
2,3,6,0.339130434782609,"General Physician"
7,2,2,0.339130434782609,"General Physician"
12,2,7,0.339130434782609,"General Physician"
11,1,12,0.339130434782609,"General Physician"
6,3,11,0.339130434782609,"General Physician"
10,4,6,0.339130434782609,"General Physician"
7,3,10,0.339130434782609,"General Physician"
8,2,7,0.339130434782609,"General Physician"
8,0,8,0.339130434782609,"General Physician"
8,2,8,0.339130434782609,"General Physician"
8,3,8,0.339130434782609,"General Physician"
2,4,8,0.339130434782609,"General Physician"
12,5,2,0.339130434782609,"General Physician"
2,5,12,0.339130434782609,"General Physician"
6,3,8,3.19565217391304,"General Physician"
10,3,6,3.19565217391304,"General Physician"
4,5,10,3.19565217391304,"General Physician"
7,3,4,3.19565217391304,"General Physician"
6,4,7,3.19565217391304,"General Physician"
10,3,6,3.19565217391304,"General Physician"
11,4,10,3.19565217391304,"General Physician"
7,4,11,3.19565217391304,"General Physician"
8,5,7,3.19565217391304,"General Physician"
8,4,8,3.19565217391304,"General Physician"
5,3,8,3.19565217391304,"General Physician"
4,3,5,3.19565217391304,"General Physician"
1,4,4,3.19565217391304,"General Physician"
9,6,1,3.19565217391304,"General Physician"
3,3,9,3.19565217391304,"General Physician"
5,5,3,3.19565217391304,"General Physician"
8,7,5,3.19565217391304,"General Physician"
8,2,8,3.19565217391304,"General Physician"
7,3,8,3.19565217391304,"General Physician"
6,1,7,3.19565217391304,"General Physician"
7,4,6,3.19565217391304,"General Physician"
6,6,7,3.19565217391304,"General Physician"
6,5,6,3.19565217391304,"General Physician"
5,0,13,0.347826086956522,"Area Specialist"
13,0,5,0.347826086956522,"Area Specialist"
8,0,13,0.347826086956522,"Area Specialist"
12,0,8,0.347826086956522,"Area Specialist"
10,0,12,0.347826086956522,"Area Specialist"
14,0,10,0.347826086956522,"Area Specialist"
3,0,14,0.347826086956522,"Area Specialist"
13,0,3,0.347826086956522,"Area Specialist"
20,0,13,0.347826086956522,"Area Specialist"
9,0,20,0.347826086956522,"Area Specialist"
12,0,9,0.347826086956522,"Area Specialist"
19,0,12,0.347826086956522,"Area Specialist"
15,0,19,0.347826086956522,"Area Specialist"
15,2,15,0.347826086956522,"Area Specialist"
3,0,15,0.347826086956522,"Area Specialist"
6,3,3,0.347826086956522,"Area Specialist"
3,2,6,0.347826086956522,"Area Specialist"
7,1,3,0.347826086956522,"Area Specialist"
0,3,7,0.347826086956522,"Area Specialist"
9,3,0,0.347826086956522,"Area Specialist"
9,3,9,0.347826086956522,"Area Specialist"
11,3,9,0.347826086956522,"Area Specialist"
6,3,11,0.347826086956522,"Area Specialist"
5,1,4,0.421739130434783,"General Physician"
2,2,5,0.421739130434783,"General Physician"
3,2,2,0.421739130434783,"General Physician"
5,2,3,0.421739130434783,"General Physician"
6,2,5,0.421739130434783,"General Physician"
12,4,6,0.421739130434783,"General Physician"
8,2,12,0.421739130434783,"General Physician"
9,2,8,0.421739130434783,"General Physician"
10,3,9,0.421739130434783,"General Physician"
7,6,10,0.421739130434783,"General Physician"
10,2,7,0.421739130434783,"General Physician"
7,3,10,0.421739130434783,"General Physician"
2,1,7,0.421739130434783,"General Physician"
2,2,2,0.421739130434783,"General Physician"
4,1,2,0.421739130434783,"General Physician"
6,2,4,0.421739130434783,"General Physician"
4,5,6,0.421739130434783,"General Physician"
9,2,4,0.421739130434783,"General Physician"
4,1,9,0.421739130434783,"General Physician"
1,2,4,0.421739130434783,"General Physician"
3,3,1,0.421739130434783,"General Physician"
2,3,3,0.421739130434783,"General Physician"
4,2,2,0.421739130434783,"General Physician"
0,2,0,0.330434782608696,"General Physician"
0,0,0,0.330434782608696,"General Physician"
0,1,0,0.330434782608696,"General Physician"
0,1,0,0.330434782608696,"General Physician"
0,3,0,0.330434782608696,"General Physician"
0,1,0,0.330434782608696,"General Physician"
0,1,0,0.330434782608696,"General Physician"
0,2,0,0.330434782608696,"General Physician"
0,3,0,0.330434782608696,"General Physician"
0,0,0,0.330434782608696,"General Physician"
0,1,0,0.330434782608696,"General Physician"
0,1,0,0.330434782608696,"General Physician"
0,0,0,0.330434782608696,"General Physician"
2,0,0,0.330434782608696,"General Physician"
0,0,2,0.330434782608696,"General Physician"
0,0,0,0.330434782608696,"General Physician"
0,0,0,0.330434782608696,"General Physician"
0,0,0,0.330434782608696,"General Physician"
2,1,0,0.330434782608696,"General Physician"
0,1,2,0.330434782608696,"General Physician"
0,3,0,0.330434782608696,"General Physician"
0,4,0,0.330434782608696,"General Physician"
0,5,0,0.330434782608696,"General Physician"
7,1,9,0.495652173913044,"General Physician"
3,1,7,0.495652173913044,"General Physician"
10,3,3,0.495652173913044,"General Physician"
3,1,10,0.495652173913044,"General Physician"
6,0,3,0.495652173913044,"General Physician"
2,1,6,0.495652173913044,"General Physician"
5,2,2,0.495652173913044,"General Physician"
7,2,5,0.495652173913044,"General Physician"
2,1,7,0.495652173913044,"General Physician"
9,2,2,0.495652173913044,"General Physician"
2,1,9,0.495652173913044,"General Physician"
5,2,2,0.495652173913044,"General Physician"
6,1,5,0.495652173913044,"General Physician"
3,2,6,0.495652173913044,"General Physician"
8,0,3,0.495652173913044,"General Physician"
4,1,8,0.495652173913044,"General Physician"
3,1,4,0.495652173913044,"General Physician"
3,1,3,0.495652173913044,"General Physician"
5,2,3,0.495652173913044,"General Physician"
3,1,5,0.495652173913044,"General Physician"
2,1,3,0.495652173913044,"General Physician"
4,3,2,0.495652173913044,"General Physician"
6,2,4,0.495652173913044,"General Physician"
6,4,4,4.51739130434783,"General Physician"
7,3,6,4.51739130434783,"General Physician"
9,2,7,4.51739130434783,"General Physician"
12,2,9,4.51739130434783,"General Physician"
10,3,12,4.51739130434783,"General Physician"
25,1,10,4.51739130434783,"General Physician"
17,7,25,4.51739130434783,"General Physician"
13,6,17,4.51739130434783,"General Physician"
22,7,13,4.51739130434783,"General Physician"
